specification,validation_method,selected_alpha,train_years,n_train,n_test,national_weighted_mae,national_weighted_rmse,national_weighted_mean_error,local_weighted_mae,local_weighted_rmse,local_weighted_mean_error,local_n
"current (X[t], rate[t-1])",time_holdout,2.0,"[2021, 2022]",474,234,0.04467782407393407,0.044994819524356605,-0.04467782407393407,0.04467782407393407,0.044994819524356605,-0.04467782407393407,234
"2-year lag (X[t-2], rate[t-2])",time_holdout,2.0,[2022],236,235,0.047469867188862425,0.048639649125473104,-0.04742567330980795,0.047469867188862425,0.048639649125473104,-0.04742567330980795,235
"3-year lag (X[t-3], rate[t-3])",5_fold_cv_fallback,0.01,[2023],234,234,0.008679120799591296,0.011686713470869848,-0.00017878572609955097,0.008679120799591296,0.011686713470869848,-0.00017878572609955097,234
