specification,validation_method,selected_alpha,train_years,n_train,n_test,national_weighted_mae,national_weighted_rmse,national_weighted_mean_error,national_n,fl_weighted_mae,fl_weighted_rmse,fl_weighted_mean_error,fl_n,ftb_weighted_mae,ftb_weighted_rmse,ftb_weighted_mean_error,ftb_n
"current (X[t], rate[t-1])",time_holdout,2.0,"[2021, 2022, 2023]",109148,36591,0.015113892829405338,0.020347549699665502,0.0015645973259051614,36591,0.015984717244744952,0.021627668178790273,0.0014128675242237154,1055,0.010772469167885948,0.01394152561037919,0.004145610277607235,233
"2-year lag (X[t-2], rate[t-2])",time_holdout,2.0,"[2022, 2023]",72217,36369,0.0271247583092664,0.03201369562322019,0.02255616518285934,36369,0.027609704472306717,0.03130951273778147,0.023903462558621316,1055,0.02649786658867129,0.029679081501938244,0.025450438256800413,233
"3-year lag (X[t-3], rate[t-3])",time_holdout,2.0,[2023],35922,36035,0.020725684930108762,0.0281615479737502,-0.014949685969083857,36035,0.017869706461684082,0.02476798278592842,-0.010949491571104777,1060,0.014810564603969036,0.018913014617056426,-0.009093916658638726,236
