specification,variant,validation_method,selected_alpha,n_train,n_test,national_weighted_mae,fl_weighted_mae,fl_weighted_rmse,fl_weighted_mean_error,ftb_weighted_mae
"2-year lag (X[t-2], rate[t-2])",ols,time_holdout,0.0,72217,36369,0.027124759011295633,0.027609705082592147,0.031309513325362116,0.02390346340564242,0.026497867346450075
"2-year lag (X[t-2], rate[t-2])",ridge,time_holdout,2.0,72217,36369,0.0271247583092664,0.027609704472306717,0.03130951273778147,0.023903462558621316,0.02649786658867129
"3-year lag (X[t-3], rate[t-3])",ols,time_holdout,0.0,35922,36035,0.018513163668159437,0.023709483042775547,0.029924151323863057,-0.017539750094340726,0.020014154675596744
"3-year lag (X[t-3], rate[t-3])",ridge,time_holdout,2.0,35922,36035,0.020725684930108762,0.017869706461684082,0.02476798278592842,-0.010949491571104777,0.014810564603969036
"current (X[t], rate[t-1])",ols,time_holdout,0.0,109148,36591,0.01511389286406985,0.015984717332304388,0.02162766818701947,0.001412867874931962,0.010772469271947076
"current (X[t], rate[t-1])",ridge,time_holdout,2.0,109148,36591,0.015113892829405338,0.015984717244744952,0.021627668178790273,0.0014128675242237154,0.010772469167885948
